class_id,class_name,original_percent,lu_wetlandrestoration_percent,lu_wetlandrestoration_abs_change,lu_wetlandrestoration_pct_change,lu_farm_to_forest_percent,lu_farm_to_forest_abs_change,lu_farm_to_forest_pct_change,lu_hills_reforest_percent,lu_hills_reforest_abs_change,lu_hills_reforest_pct_change,lu_coniferoustobroadleaved_percent,lu_coniferoustobroadleaved_abs_change,lu_coniferoustobroadleaved_pct_change,lu_hillsloperesforestation_percent,lu_hillsloperesforestation_abs_change,lu_hillsloperesforestation_pct_change,lu_farmlandtoforest_percent,lu_farmlandtoforest_abs_change,lu_farmlandtoforest_pct_change,lu_swales_percent,lu_swales_abs_change,lu_swales_pct_change,lu_agrimanag_percent,lu_agrimanag_abs_change,lu_agrimanag_pct_change,lu_farmpond_percent,lu_farmpond_abs_change,lu_farmpond_pct_change,lu_coniferoustopeat_percent,lu_coniferoustopeat_abs_change,lu_coniferoustopeat_pct_change,lu_foresttopeat_percent,lu_foresttopeat_abs_change,lu_foresttopeat_pct_change,lu_checkdams_percent,lu_checkdams_abs_change,lu_checkdams_pct_change,lu_farmlandtopeatland_percent,lu_farmlandtopeatland_abs_change,lu_farmlandtopeatland_pct_change
1.0,Artificial,12.762600854877318,12.73269744822099,-0.029903406656329068,-0.23430495865504772,12.762600854877318,0.0,0.0,12.762600854877318,0.0,0.0,12.762600854877318,0.0,0.0,12.762600854877318,0.0,0.0,12.762600854877318,0.0,0.0,12.762600854877318,0.0,0.0,12.762600854877318,0.0,0.0,12.762600854877318,0.0,0.0,12.762600854877318,0.0,0.0,12.762600854877318,0.0,0.0,12.762600854877318,0.0,0.0,12.762600854877318,0.0,0.0
2.0,Arable,21.47577745388834,20.61127617566836,-0.8645012782199828,-4.025471394813037,7.950134200612029,-13.525643253276312,-62.98092482247901,20.226423926752833,-1.2493535271355078,-5.817500809076896,21.47577745388834,0.0,0.0,20.073638284548906,-1.402139169339435,-6.528933224187271,7.950134200612029,-13.525643253276312,-62.98092482247901,21.47577745388834,0.0,0.0,5.066694876391662,-16.40908257749668,-76.40739718377786,21.47577745388834,0.0,0.0,21.47577745388834,0.0,0.0,21.47577745388834,0.0,0.0,21.47577745388834,0.0,0.0,10.602154977687743,-10.873622476200598,-50.63203183003674
3.0,Crops,0.08893899408481588,0.0810456282799164,-0.00789336580489948,-8.875033820791858,0.03464890135386238,-0.054290092730953504,-61.041945987358744,0.06498798361110374,-0.023951010473712148,-26.929706952691053,0.08893899408481588,0.0,0.0,0.06495391389492491,-0.02398508018989097,-26.968013790461594,0.03464890135386238,-0.054290092730953504,-61.041945987358744,0.08893899408481588,0.0,0.0,0.018244333013759394,-0.07069466107105649,-79.48668837387474,0.08893899408481588,0.0,0.0,0.08893899408481588,0.0,0.0,0.08893899408481588,0.0,0.0,0.08893899408481588,0.0,0.0,0.04902632158132543,-0.039912672503490454,-44.87646044819001
4.0,Pastures,16.460153082048734,15.599324585697236,-0.8608284963514983,-5.229772117309824,9.70245894769549,-6.757694134353244,-41.05486808456911,14.930644278774771,-1.5295088032739628,-9.292190635468806,16.460153082048734,0.0,0.0,14.800940869281995,-1.6592122127667395,-10.080174859225693,9.70245894769549,-6.757694134353244,-41.05486808456911,16.460153082048734,0.0,0.0,8.472985099950327,-7.987167982098407,-48.5242630629549,16.460153082048734,0.0,0.0,16.460153082048734,0.0,0.0,16.460153082048734,0.0,0.0,16.460153082048734,0.0,0.0,10.887080014091234,-5.5730730679575,-33.85796620588805
5.0,Agriculture,16.6471447192962,16.02075163262313,-0.6263930866730689,-3.762765911123474,14.117502362734816,-2.529642356561384,-15.195653063730505,16.137717288132357,-0.5094274311638429,-3.0601489910359847,16.6471447192962,0.0,0.0,16.092114973027005,-0.5550297462691951,-3.3340837460603296,14.117502362734816,-2.529642356561384,-15.195653063730505,16.6471447192962,0.0,0.0,6.088956710337229,-10.558188008958972,-63.42341697024272,16.6471447192962,0.0,0.0,16.6471447192962,0.0,0.0,16.6471447192962,0.0,0.0,16.6471447192962,0.0,0.0,14.650846734656191,-1.9962979846400088,-11.991834145143464
6.0,Broadleaf,21.233218109553217,20.989063268905067,-0.24415484064815018,-1.1498720513698317,44.10048794647511,22.867269836921896,107.69573278500582,25.14300763366061,3.909789524107392,18.413551370003145,24.394683352650862,3.161465243097645,14.889242067716731,25.522680550757403,4.289462441204186,20.201659583924673,44.10048794647511,22.867269836921896,107.69573278500582,21.233218109553217,0.0,0.0,21.233218109553217,0.0,0.0,21.233218109553217,0.0,0.0,21.233218109553217,0.0,0.0,16.540557612230756,-4.692660497322461,-22.100561832457917,21.233218109553217,0.0,0.0,21.233218109553217,0.0,0.0
7.0,Conifer,6.391904626599318,6.197350363248959,-0.19455426335035853,-3.0437604237825924,6.391904626599318,0.0,0.0,5.952422322750598,-0.43948230384871945,-6.8756079685522,3.230439383501672,-3.1614652430976458,-49.46045705909788,5.914604937792105,-0.4772996888072125,-7.467252981544409,6.391904626599318,0.0,0.0,6.391904626599318,0.0,0.0,6.391904626599318,0.0,0.0,6.391904626599318,0.0,0.0,4.298593125140112,-2.0933115014592056,-32.74941701645679,5.850911603395796,-0.5409930232035212,-8.46372176693984,6.391904626599318,0.0,0.0,6.391904626599318,0.0,0.0
8.0,Shrub,1.5724877502335481,1.4828386137620517,-0.08964913647149642,-5.701102374767727,1.5724877502335481,0.0,0.0,1.415273044926372,-0.15721470530717618,-9.997833387498659,1.5724877502335481,0.0,0.0,1.402190273913704,-0.17029747631984415,-10.829812588018656,1.5724877502335481,0.0,0.0,1.5724877502335481,0.0,0.0,1.5724877502335481,0.0,0.0,1.5724877502335481,0.0,0.0,1.5724877502335481,0.0,0.0,1.2679044875948757,-0.3045832626386724,-19.369515762105955,1.5724877502335481,0.0,0.0,1.5724877502335481,0.0,0.0
9.0,Open,0.043881794438323254,0.042805309766168545,-0.0010764846721547094,-2.4531464265157394,0.043881794438323254,0.0,0.0,0.04303005153385269,-0.0008517429044705635,-1.9409937888198836,0.043881794438323254,0.0,0.0,0.04238272692645506,-0.0014990675118681934,-3.4161490683229987,0.043881794438323254,0.0,0.0,0.043881794438323254,0.0,0.0,0.043881794438323254,0.0,0.0,0.043881794438323254,0.0,0.0,0.043881794438323254,0.0,0.0,0.042348657210276246,-0.0015331372280470087,-3.4937888198757783,0.043881794438323254,0.0,0.0,0.043881794438323254,0.0,0.0
10.0,Wetland,0.4530590857459803,3.683964974252938,3.2309058885069577,713.1312427356223,0.4530590857459803,0.0,0.0,0.4530590857459803,0.0,0.0,0.4530590857459803,0.0,0.0,0.4530590857459803,0.0,0.0,0.4530590857459803,0.0,0.0,0.4530590857459803,0.0,0.0,0.4530590857459803,0.0,0.0,0.4530590857459803,0.0,0.0,2.5463705872051863,2.093311501459206,462.03940442171756,5.992829006138681,5.5397699203927,1222.7477816212963,0.4530590857459803,0.0,0.0,18.93596528704758,18.4829062013016,4079.5796360354943
11.0,Waterbodies,2.8708335292342015,2.5588819995751835,-0.31195152965901807,-10.866235414988745,2.8708335292342015,0.0,0.0,2.8708335292342015,0.0,0.0,2.8708335292342015,0.0,0.0,2.8708335292342015,0.0,0.0,2.8708335292342015,0.0,0.0,2.8708335292342015,0.0,0.0,2.8708335292342015,0.0,0.0,2.8708335292342015,0.0,0.0,2.8708335292342015,0.0,0.0,2.8708335292342015,0.0,0.0,2.8708335292342015,0.0,0.0,2.8708335292342015,0.0,0.0
12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.02513322962512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
